City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,guerrero negro,27.9769,-114.0611,291.93,56,58,6.31,MX,1686498529
129,tomball,30.0972,-95.6161,304.59,73,75,4.63,US,1686498529
130,walvis bay,-22.9575,14.5053,288.68,72,0,6.69,,1686498529
131,tir pul,34.5943,61.269,302.77,15,0,6.47,AF,1686498529
132,aasiaat,68.7098,-52.8699,274.56,92,100,4.34,GL,1686498530
133,tiksi,71.6872,128.8694,272.57,98,100,6.6,RU,1686498530
134,west fargo,46.875,-96.9004,292.58,46,0,3.6,US,1686498349
135,ulsteinvik,62.3432,5.8487,294.76,51,100,5.64,NO,1686498530
136,punta arenas,-53.15,-70.9167,276.21,70,20,9.77,CL,1686498514
137,yambio,4.5721,28.3955,296.81,78,100,0.63,SS,1686498531
138,tlahualilo de zaragoza,26.1167,-103.45,306.32,13,0,5.64,MX,1686498531
139,namdrik,5.5994,168.1028,301.25,79,96,8.28,MH,1686498531
140,santa elena de uairen,4.6167,-61.1333,299.29,63,47,3.92,VE,1686498531
141,usinsk,65.9939,57.5281,278.21,71,88,7.51,RU,1686498532
142,yen vinh,18.6667,105.6667,300.44,83,61,1.73,VN,1686498532
143,koungheul,13.9833,-14.8,314.79,18,78,0.97,SN,1686498532
144,salmon arm,50.6998,-119.3024,292.77,81,83,0.51,CA,1686498256
145,ribeira grande,38.5167,-28.7,294.14,73,40,4.02,PT,1686498532
146,la rioja,42.25,-2.5,292.03,91,79,2.71,ES,1686498309
147,sinnar,13.5691,33.5672,301.06,56,99,4.96,SD,1686498533
148,east london,-33.0153,27.9116,289.67,77,0,1.54,ZA,1686498533
149,saint-memmie,48.9525,4.3841,302.75,72,1,3.11,FR,1686498533
150,baiquan,47.5833,126.0833,289.7,77,97,1.68,CN,1686498533
151,celestun,20.8667,-90.4,305.71,56,20,2.33,MX,1686498534
152,pursat,12.3333,103.6667,299.29,79,100,1.36,KH,1686498534
153,qrendi,35.8347,14.4583,299.96,65,20,3.09,MT,1686498534
154,mount gambier,-37.8333,140.7667,281.24,78,22,3.7,AU,1686498534
155,batar,46.7,21.8167,293.36,73,33,6.01,RO,1686498534
156,nar'yan-mar,67.6713,53.087,276.79,61,94,6.03,RU,1686498261
157,fort bragg,35.139,-79.006,303.26,47,0,4.63,US,1686498535
158,sinabang,2.4803,96.3801,300.17,85,66,2.04,ID,1686498535
159,trofaiach,47.4167,15.0,295.07,72,65,2.7,AT,1686498535
160,tazovsky,67.4667,78.7,281.78,95,100,5.67,RU,1686498536
161,aykhal,66.0,111.5,273.56,98,100,8.2,RU,1686498536
162,eyl,7.9803,49.8164,300.12,76,77,10.93,SO,1686498536
163,alice springs,-23.7,133.8833,287.9,67,100,2.57,AU,1686498536
164,stanley,54.868,-1.6985,298.56,58,0,5.14,GB,1686498537
165,saint-joseph,-21.3667,55.6167,296.36,80,33,0.98,RE,1686498537
166,hermanus,-34.4187,19.2345,290.26,75,100,6.93,ZA,1686498537
167,katsuura,35.1333,140.3,294.25,96,100,1.51,JP,1686498537
168,kapa'a,22.0752,-159.319,297.33,83,40,5.66,US,1686498537
169,ilha solteira,-20.4328,-51.3425,304.41,27,0,2.81,BR,1686498538
170,oncativo,-31.9135,-63.682,286.86,26,4,3.22,AR,1686498539
171,aktobe,50.2797,57.2072,301.2,23,0,2.0,KZ,1686498539
172,howard springs,-12.497,131.047,295.1,63,13,0.56,AU,1686498540
173,puerto baquerizo moreno,-0.9,-89.6,298.7,89,40,5.66,EC,1686498540
174,eastham,41.8301,-69.9739,298.16,57,0,2.57,US,1686498540
175,yulinshi,38.2906,109.7494,295.7,25,3,3.44,CN,1686498540
176,bel ombre,-4.6167,55.4167,301.06,78,40,6.17,SC,1686498541
177,hasaki,35.7333,140.8333,293.37,96,100,2.92,JP,1686498541
178,yuzhno-kurilsk,44.0306,145.8556,284.1,99,100,3.5,RU,1686498541
179,saipan,15.1355,145.701,300.54,100,75,5.14,MP,1686498541
180,serdobsk,52.4586,44.2169,284.81,70,100,7.85,RU,1686498541
181,mont-dore,-22.2833,166.5833,293.15,99,27,2.74,NC,1686498542
182,palma soriano,20.2172,-75.9989,300.63,61,49,2.64,CU,1686498542
183,ajaccio,42.0,8.9167,297.26,65,40,4.63,FR,1686498542
184,hwange,-18.3693,26.5019,296.52,31,3,2.52,ZW,1686498543
185,amboasary,-25.0333,46.3833,292.65,88,1,1.95,MG,1686498543
186,barcelos,41.5388,-8.6151,298.1,70,91,2.92,PT,1686498543
187,javea,38.7833,0.1667,302.35,61,1,3.58,ES,1686498543
188,kodiak,57.79,-152.4072,279.88,93,100,5.14,US,1686498544
189,ayr,55.4627,-4.6339,296.47,68,20,7.2,GB,1686498544
190,west island,-12.1568,96.8225,300.14,78,75,11.34,CC,1686498544
191,haiku-pauwela,20.9219,-156.3051,297.06,79,40,5.66,US,1686498544
192,mtskheta,41.8451,44.7188,297.2,67,86,0.41,GE,1686498545
